financial_id,incident_id,cost_category,amount_usd,currency,recorded_date
FIN00042,INC00503,Forensics,250.0,USD,2026-01-04
FIN00043,INC00503,PR/Reputation,250.0,USD,2026-04-20
FIN00044,INC00312,Legal,56164.0,USD,2024-10-19
FIN00045,INC01893,PR/Reputation,73065.42,USD,2025-08-15
FIN00046,INC01006,Legal,56164.0,USD,2025-10-22
FIN00047,INC01612,Downtime Loss,21249.46,USD,2025-10-27
FIN00048,INC00376,Regulatory Fine,165632.38,USD,2025-07-04
FIN00049,INC00264,Legal,114044.17,USD,2024-09-23
FIN00050,INC00559,Remediation,250.0,USD,2024-09-24
FIN00051,INC00559,Forensics,57975.58,USD,2024-12-18
FIN00052,INC00390,Forensics,250.0,USD,2026-01-08
FIN00053,INC01432,Legal,56164.0,USD,2026-05-04
FIN00054,INC01432,Legal,56164.0,USD,2025-10-12
FIN00055,INC01864,PR/Reputation,142361.86,USD,2026-06-26
FIN00056,INC01548,Downtime Loss,70732.23,USD,2025-07-13
FIN00057,INC01003,Regulatory Fine,231517.66,USD,2024-11-07
FIN00058,INC01891,PR/Reputation,50789.6,USD,2025-07-30
FIN00059,INC01891,Legal,250.0,USD,2026-04-05
FIN00060,INC00647,Legal,250.0,USD,2025-03-25
FIN00061,INC01107,Forensics,151463.44,USD,2025-12-05
FIN00062,INC01523,PR/Reputation,148933.65,USD,2024-07-05
FIN00063,INC01523,Remediation,56652.85,USD,2026-06-14
FIN00064,INC01461,Downtime Loss,47237.75,USD,2025-07-17
FIN00065,INC01471,Legal,250.0,USD,2026-01-15
FIN00066,INC00201,Remediation,53560.36,USD,2025-06-19
FIN00067,INC00211,Remediation,56652.85,USD,2026-05-25
FIN00068,INC00873,Downtime Loss,184539.97,USD,2025-09-05
FIN00069,INC00275,Uncategorized,247045.47,USD,2025-06-29
FIN00070,INC00705,Regulatory Fine,211629.07,USD,2025-05-29
FIN00071,INC01175,PR/Reputation,250.0,USD,2025-08-09
FIN00072,INC00800,Customer Notification,61533.41,USD,2025-08-18
FIN00073,INC00800,Remediation,250.0,USD,2024-11-06
FIN00074,INC01883,Downtime Loss,70732.23,USD,2025-01-22
FIN00075,INC01883,Downtime Loss,70732.23,USD,2025-01-05
FIN00076,INC01525,Downtime Loss,186007.7,USD,2024-10-22
FIN00077,INC01259,Legal,215816.36,USD,2024-11-21
FIN00078,INC01259,Remediation,94815.83,USD,2025-03-07
FIN00079,INC01720,Regulatory Fine,74023.2,USD,2025-08-23
FIN00080,INC01526,Customer Notification,230155.56,USD,2025-12-09
FIN00081,INC01734,Customer Notification,219303.32,USD,2025-10-05
FIN00082,INC01734,Remediation,199741.54,USD,2025-04-03
FIN00083,INC00914,Forensics,250.0,USD,2025-07-09
FIN00084,INC00914,Uncategorized,72485.79,USD,2024-07-19
FIN00085,INC00133,Customer Notification,132894.63,USD,2025-12-11
FIN00086,INC01032,Legal,205682.38,USD,2026-01-20
FIN00087,INC00755,PR/Reputation,139019.27,USD,2024-11-11
FIN00088,INC00145,Downtime Loss,70732.23,USD,2026-01-14
FIN00089,INC00244,Downtime Loss,215952.4,USD,2024-07-20
FIN00090,INC00550,Regulatory Fine,36469.62,USD,2024-10-13
FIN00091,INC01372,Customer Notification,238280.95,USD,2024-07-28
FIN00092,INC01858,Forensics,250.0,USD,2025-06-18
FIN00093,INC01858,Remediation,101257.26,USD,2025-03-28
FIN00094,INC00905,Uncategorized,64891.72,USD,2026-06-18
FIN00095,INC01908,Downtime Loss,134365.92,USD,2026-01-31
FIN00096,INC00954,Legal,250.0,USD,2026-05-08
FIN00097,INC01709,Regulatory Fine,250.0,USD,2026-05-07
FIN00098,INC00245,Legal,250.0,USD,2025-10-10
FIN00099,INC00787,Regulatory Fine,250.0,USD,2025-08-08
FIN00100,INC00415,Forensics,196309.01,USD,2025-08-06
FIN00101,INC00415,PR/Reputation,149708.76,USD,2024-09-03
FIN00102,INC00239,Uncategorized,72485.79,USD,2025-06-02
FIN00103,INC01409,Regulatory Fine,74023.2,USD,2025-07-29
FIN00104,INC01935,Downtime Loss,202944.44,USD,2025-08-05
FIN00105,INC01935,Remediation,250.0,USD,2026-03-12
FIN00106,INC01261,Regulatory Fine,242668.75,USD,2024-11-27
FIN00107,INC00407,Regulatory Fine,168988.98,USD,2025-04-18
FIN00108,INC00407,Forensics,45812.64,USD,2025-10-15
FIN00109,INC01073,Uncategorized,250.0,USD,2025-09-15
FIN00110,INC00104,Uncategorized,113910.69,USD,2024-09-15
FIN00111,INC00104,Regulatory Fine,180504.86,USD,2026-04-14
FIN00112,INC01217,Downtime Loss,250.0,USD,2025-04-11
FIN00113,INC01627,Legal,56164.0,USD,2026-01-08
FIN00114,INC00823,Downtime Loss,70732.23,USD,2025-03-30
FIN00115,INC00292,Remediation,107603.49,USD,2025-11-05
FIN00116,INC01333,Legal,56164.0,USD,2025-12-07
FIN00117,INC01507,Remediation,250.0,USD,2024-09-14
FIN00118,INC01849,Regulatory Fine,159276.15,USD,2024-08-07
FIN00119,INC01849,PR/Reputation,87341.22,USD,2024-12-26
FIN00120,INC00952,Customer Notification,250.0,USD,2025-01-13
FIN00121,INC01048,Regulatory Fine,74023.2,USD,2026-03-12
FIN00122,INC01539,Regulatory Fine,250.0,USD,2026-04-08
FIN00123,INC00808,Remediation,56652.85,USD,2026-06-03
FIN00124,INC01804,Downtime Loss,250.0,USD,2025-02-21
FIN00125,INC01804,Downtime Loss,163901.97,USD,2025-05-03
FIN00126,INC01600,Customer Notification,236830.64,USD,2025-08-17
FIN00127,INC00228,Forensics,250.0,USD,2026-04-06
FIN00128,INC00192,Remediation,8498.99,USD,2024-11-13
FIN00129,INC01062,Forensics,134501.33,USD,2026-01-02
FIN00130,INC01531,Uncategorized,109132.4,USD,2026-04-23
FIN00131,INC01531,Forensics,45812.64,USD,2024-11-14
FIN00132,INC01176,Legal,70001.22,USD,2025-01-05
FIN00133,INC00135,Legal,56164.0,USD,2025-11-09
FIN00134,INC01160,Uncategorized,140565.27,USD,2024-08-10
FIN00135,INC00338,Regulatory Fine,74023.2,USD,2025-10-31
FIN00136,INC01144,Legal,56164.0,USD,2024-08-20
FIN00137,INC00473,Forensics,58418.05,USD,2025-06-10
FIN00138,INC01406,Legal,177528.98,USD,2026-06-15
FIN00139,INC01465,Legal,224484.47,USD,2026-04-05
FIN00140,INC00575,Downtime Loss,198561.32,USD,2025-04-01
FIN00141,INC00575,Customer Notification,250.0,USD,2026-02-07
FIN00142,INC01583,Customer Notification,203713.61,USD,2026-05-26
FIN00143,INC01578,Customer Notification,61533.41,USD,2025-01-27
FIN00144,INC01459,Legal,82299.66,USD,2025-10-24
FIN00145,INC01459,Forensics,116848.56,USD,2025-04-09
FIN00146,INC01402,Legal,109998.07,USD,2025-07-13
FIN00147,INC01911,Legal,35223.37,USD,2025-01-10
FIN00148,INC00076,Regulatory Fine,132979.21,USD,2025-08-30
FIN00149,INC01715,Uncategorized,250.0,USD,2025-07-17
FIN00150,INC00268,Forensics,204050.45,USD,2025-09-15
FIN00151,INC00889,Legal,250.0,USD,2026-05-06
FIN00152,INC01314,Uncategorized,250.0,USD,2025-03-12
FIN00153,INC01462,Forensics,45812.64,USD,2024-09-26
FIN00154,INC01682,Regulatory Fine,74023.2,USD,2025-06-17
FIN00155,INC01682,Regulatory Fine,17081.64,USD,2025-04-05
FIN00156,INC00094,Forensics,45812.64,USD,2024-09-07
FIN00157,INC01369,Customer Notification,250.0,USD,2026-03-26
FIN00158,INC01051,Downtime Loss,70732.23,USD,2026-05-16
FIN00159,INC01817,Customer Notification,61533.41,USD,2024-10-28
FIN00160,INC01850,Regulatory Fine,112819.31,USD,2024-12-02
FIN00161,INC00461,Legal,67021.37,USD,2025-10-10
FIN00162,INC00461,Remediation,56652.85,USD,2026-04-13
FIN00163,INC00682,Forensics,180481.96,USD,2026-04-28
FIN00164,INC01356,Legal,56164.0,USD,2025-04-30
FIN00165,INC01138,Remediation,17704.71,USD,2025-03-31
FIN00166,INC01138,Regulatory Fine,147590.43,USD,2025-03-12
FIN00167,INC01839,Regulatory Fine,41947.93,USD,2025-02-28
FIN00168,INC01501,Regulatory Fine,74023.2,USD,2025-03-13
FIN00169,INC01111,Uncategorized,157662.73,USD,2024-11-05
FIN00170,INC01111,Downtime Loss,215555.09,USD,2026-01-05
FIN00171,INC01529,Remediation,56652.85,USD,2026-01-21
FIN00172,INC01529,Downtime Loss,70732.23,USD,2026-06-14
FIN00173,INC01161,Regulatory Fine,166310.87,USD,2024-07-15
FIN00174,INC01887,Downtime Loss,19635.45,USD,2025-11-02
FIN00175,INC00578,Forensics,45058.46,USD,2025-01-26
FIN00176,INC00578,Remediation,146446.54,USD,2025-05-12
FIN00177,INC01299,Forensics,149826.17,USD,2026-02-05
FIN00178,INC01311,Customer Notification,29212.73,USD,2025-01-13
FIN00179,INC00435,Forensics,250.0,USD,2025-07-09
FIN00180,INC00768,Legal,56164.0,USD,2026-06-18
FIN00181,INC01323,Uncategorized,38002.44,USD,2025-07-24
FIN00182,INC01323,Forensics,226683.27,USD,2025-11-24
FIN00183,INC00626,PR/Reputation,221065.68,USD,2025-11-07
FIN00184,INC00626,Regulatory Fine,109144.25,USD,2025-12-07
FIN00185,INC00125,Uncategorized,72485.79,USD,2024-08-16
FIN00186,INC01744,Customer Notification,250.0,USD,2024-09-16
FIN00187,INC01584,Forensics,45812.64,USD,2025-01-22
FIN00188,INC01043,PR/Reputation,141863.14,USD,2025-05-16
FIN00189,INC01947,Customer Notification,68990.92,USD,2025-02-15
FIN00190,INC00646,Forensics,250.0,USD,2025-04-19
FIN00191,INC01588,Forensics,205639.67,USD,2026-05-26
FIN00192,INC01124,Remediation,186648.72,USD,2025-05-10
FIN00193,INC01124,Remediation,199478.44,USD,2024-12-02
FIN00194,INC00595,Forensics,250.0,USD,2025-05-11
FIN00195,INC00595,PR/Reputation,83173.48,USD,2025-11-21
FIN00196,INC00326,Customer Notification,250.0,USD,2024-07-07
FIN00197,INC01736,Uncategorized,124380.82,USD,2024-07-25
FIN00198,INC00003,Uncategorized,42993.37,USD,2025-07-04
FIN00199,INC00614,PR/Reputation,55148.94,USD,2025-10-23
FIN00200,INC01252,Legal,165833.85,USD,2026-05-19
FIN00201,INC01560,Customer Notification,130934.28,USD,2026-05-25
FIN00202,INC00743,Legal,525.05,USD,2025-10-15
FIN00203,INC01288,Legal,147692.97,USD,2024-08-02
FIN00204,INC01288,Customer Notification,210424.97,USD,2025-05-04
FIN00205,INC00515,Forensics,45812.64,USD,2026-06-05
FIN00206,INC01264,Customer Notification,215512.8,USD,2025-11-22
FIN00207,INC00367,Regulatory Fine,206872.72,USD,2026-01-08
FIN00208,INC00367,Downtime Loss,58652.25,USD,2025-06-04
FIN00209,INC01915,Uncategorized,233097.28,USD,2025-01-16
FIN00210,INC01015,Remediation,250.0,USD,2025-05-14
FIN00211,INC00796,Forensics,45812.64,USD,2026-05-24
FIN00212,INC00958,Customer Notification,61533.41,USD,2024-12-03
FIN00213,INC00958,PR/Reputation,223144.7,USD,2025-02-01
FIN00214,INC01910,Forensics,250.0,USD,2024-07-03
FIN00215,INC01910,Regulatory Fine,118862.27,USD,2025-11-27
FIN00216,INC00695,Regulatory Fine,249819.23,USD,2025-05-28
FIN00217,INC00888,Downtime Loss,70732.23,USD,2025-02-18
FIN00218,INC00925,Customer Notification,61533.41,USD,2025-03-02
FIN00219,INC00925,Forensics,214229.76,USD,2024-07-20
FIN00220,INC01899,PR/Reputation,212016.52,USD,2025-11-19
FIN00221,INC00466,Customer Notification,213505.96,USD,2025-11-02
FIN00222,INC01537,Regulatory Fine,74023.2,USD,2024-11-21
FIN00223,INC01067,Legal,242621.34,USD,2024-11-18
FIN00224,INC01067,Remediation,221492.73,USD,2026-06-11
FIN00225,INC00839,Customer Notification,165896.58,USD,2026-01-16
FIN00226,INC00838,Remediation,56652.85,USD,2026-03-22
FIN00227,INC01148,Downtime Loss,35551.54,USD,2026-06-29
FIN00228,INC01059,Forensics,250.0,USD,2025-12-26
FIN00229,INC00157,Customer Notification,250.0,USD,2026-06-16
FIN00230,INC00639,Uncategorized,250.0,USD,2025-06-07
FIN00231,INC00702,Uncategorized,250.0,USD,2024-10-05
FIN00232,INC01322,Uncategorized,250.0,USD,2025-11-11
FIN00233,INC00436,Regulatory Fine,121198.27,USD,2025-11-22
FIN00234,INC01547,Forensics,133472.77,USD,2025-09-26
FIN00235,INC01212,Uncategorized,72485.79,USD,2025-05-03
FIN00236,INC01692,Legal,56164.0,USD,2024-12-09
FIN00237,INC00267,PR/Reputation,73065.42,USD,2025-06-30
FIN00238,INC01378,Customer Notification,30408.5,USD,2025-07-04
FIN00239,INC00629,Forensics,105275.9,USD,2024-12-17
FIN00240,INC01672,Regulatory Fine,74023.2,USD,2025-01-03
FIN00241,INC00179,Customer Notification,250.0,USD,2026-01-07
FIN00242,INC01765,Uncategorized,33756.05,USD,2025-04-10
FIN00243,INC01630,Uncategorized,26035.99,USD,2024-09-27
FIN00244,INC01630,Legal,174863.74,USD,2025-11-06
FIN00245,INC00410,Legal,183848.56,USD,2024-09-26
FIN00246,INC00410,PR/Reputation,116711.43,USD,2025-12-25
FIN00247,INC01522,Downtime Loss,250.0,USD,2026-03-08
FIN00248,INC00416,Regulatory Fine,48893.94,USD,2026-06-06
FIN00249,INC01001,Legal,250.0,USD,2024-10-18
FIN00250,INC00418,Forensics,250.0,USD,2024-11-27
FIN00251,INC00418,Legal,250.0,USD,2024-10-30
FIN00252,INC00386,Forensics,43705.64,USD,2026-05-02
FIN00253,INC01645,Forensics,45812.64,USD,2024-08-01
FIN00254,INC00355,Remediation,111573.97,USD,2025-11-24
FIN00255,INC00810,Legal,167111.79,USD,2026-01-28
FIN00256,INC00810,Legal,193356.51,USD,2026-03-11
FIN00257,INC01350,Uncategorized,250.0,USD,2025-09-30
FIN00258,INC00621,Regulatory Fine,250.0,USD,2025-03-01
FIN00259,INC01920,Legal,56164.0,USD,2025-06-10
FIN00260,INC01920,PR/Reputation,75408.75,USD,2025-11-13
FIN00261,INC00107,Forensics,250.0,USD,2025-01-20
FIN00262,INC01066,Remediation,250.0,USD,2024-10-10
FIN00263,INC01066,Legal,172782.03,USD,2024-07-22
FIN00264,INC00198,Regulatory Fine,149180.93,USD,2026-03-04
FIN00265,INC01231,Uncategorized,166522.41,USD,2024-10-05
FIN00266,INC01302,Customer Notification,40114.17,USD,2025-12-29
FIN00267,INC01302,Forensics,17104.85,USD,2024-09-01
FIN00268,INC00613,Uncategorized,72485.79,USD,2025-07-13
FIN00269,INC00636,Uncategorized,250.0,USD,2025-04-11
FIN00270,INC00587,Forensics,203772.29,USD,2025-07-07
FIN00271,INC01152,Uncategorized,72485.79,USD,2025-06-07
FIN00272,INC01152,Downtime Loss,70732.23,USD,2025-04-16
FIN00273,INC01169,Remediation,250.0,USD,2025-12-24
FIN00274,INC00124,Forensics,45812.64,USD,2024-08-01
FIN00275,INC00124,Remediation,160387.17,USD,2026-01-20
FIN00276,INC01573,Remediation,100509.03,USD,2025-08-01
FIN00277,INC00299,Regulatory Fine,83720.42,USD,2025-01-21
FIN00278,INC00299,Forensics,2097.17,USD,2025-05-15
FIN00279,INC00049,Forensics,250.0,USD,2025-12-04
FIN00280,INC01803,Remediation,160574.08,USD,2025-12-09
FIN00281,INC00608,Regulatory Fine,244881.24,USD,2024-09-16
FIN00282,INC00608,Customer Notification,250.0,USD,2026-04-25
FIN00283,INC00288,Uncategorized,224518.31,USD,2026-02-19
FIN00284,INC01631,Forensics,250.0,USD,2025-11-14
FIN00285,INC01811,PR/Reputation,131569.69,USD,2024-09-29
FIN00286,INC00479,Remediation,118028.85,USD,2024-08-26
FIN00287,INC00731,Customer Notification,250.0,USD,2025-03-16
FIN00288,INC00731,Legal,56164.0,USD,2026-04-19
FIN00289,INC01250,Remediation,56652.85,USD,2025-12-27
FIN00290,INC01192,PR/Reputation,73065.42,USD,2024-09-12
FIN00291,INC00224,Customer Notification,94364.98,USD,2024-11-17
FIN00292,INC00224,Legal,250.0,USD,2024-09-17
FIN00293,INC01171,Customer Notification,61533.41,USD,2025-01-12
FIN00294,INC00262,PR/Reputation,73065.42,USD,2024-10-30
FIN00295,INC00262,Remediation,44679.25,USD,2025-07-27
FIN00296,INC00191,PR/Reputation,105785.14,USD,2026-01-08
FIN00297,INC00191,Forensics,45812.64,USD,2025-06-05
FIN00298,INC01806,Legal,212362.1,USD,2025-11-21
FIN00299,INC01806,PR/Reputation,250.0,USD,2025-01-12
FIN00300,INC00976,Forensics,153430.73,USD,2026-01-31
FIN00301,INC01855,Forensics,250.0,USD,2025-01-07
FIN00302,INC01039,Regulatory Fine,250.0,USD,2024-12-16
FIN00303,INC00877,Remediation,250.0,USD,2025-05-21
FIN00304,INC00877,Forensics,165025.54,USD,2024-09-13
FIN00305,INC01674,Remediation,250.0,USD,2026-02-02
FIN00306,INC00527,PR/Reputation,250.0,USD,2026-02-08
FIN00307,INC01444,Regulatory Fine,116988.74,USD,2025-04-18
FIN00308,INC00566,Legal,56164.0,USD,2025-07-26
FIN00309,INC01458,Downtime Loss,70732.23,USD,2024-11-19
FIN00310,INC01088,Forensics,103916.79,USD,2026-06-23
FIN00311,INC01694,Forensics,103397.64,USD,2025-06-09
FIN00312,INC01885,PR/Reputation,198939.75,USD,2024-12-14
FIN00313,INC00335,Remediation,250.0,USD,2025-06-05
FIN00314,INC01155,PR/Reputation,63945.19,USD,2025-02-27
FIN00315,INC01808,Legal,161581.37,USD,2024-09-18
FIN00316,INC01808,PR/Reputation,250.0,USD,2026-02-28
FIN00317,INC00163,Forensics,126992.03,USD,2026-06-14
FIN00318,INC01651,Regulatory Fine,95475.06,USD,2025-05-21
FIN00319,INC00344,Forensics,23905.31,USD,2025-05-22
FIN00320,INC00026,Legal,26820.82,USD,2026-05-17
FIN00321,INC01979,Forensics,236442.87,USD,2025-12-24
FIN00322,INC00642,PR/Reputation,250.0,USD,2025-09-07
FIN00323,INC00304,Forensics,250.0,USD,2024-11-23
FIN00324,INC01383,PR/Reputation,73065.42,USD,2026-03-31
FIN00325,INC01046,Regulatory Fine,155619.83,USD,2025-10-17
FIN00326,INC00917,Remediation,250.0,USD,2025-09-10
FIN00327,INC00917,Downtime Loss,250.0,USD,2024-07-17
FIN00328,INC01964,Forensics,23718.58,USD,2024-08-22
FIN00329,INC00073,Uncategorized,158883.62,USD,2024-12-27
FIN00330,INC00247,Remediation,250.0,USD,2025-05-04
FIN00331,INC01178,Uncategorized,250.0,USD,2025-07-08
FIN00332,INC00098,PR/Reputation,82975.91,USD,2025-11-10
FIN00333,INC00772,Uncategorized,104303.26,USD,2025-12-10
FIN00334,INC00324,Uncategorized,127802.19,USD,2025-02-26
FIN00335,INC00586,Remediation,146815.71,USD,2025-01-12
FIN00336,INC00874,Remediation,250.0,USD,2026-02-02
FIN00337,INC00874,Regulatory Fine,182073.44,USD,2024-10-23
FIN00338,INC01542,Legal,250.0,USD,2024-12-06
FIN00339,INC00764,Downtime Loss,70732.23,USD,2024-12-25
FIN00340,INC01948,Uncategorized,250.0,USD,2025-11-10
FIN00341,INC01948,Remediation,106514.67,USD,2025-05-25
FIN00342,INC01968,Remediation,250.0,USD,2025-10-27
FIN00343,INC01287,Regulatory Fine,74023.2,USD,2026-05-16
FIN00344,INC01361,PR/Reputation,112278.95,USD,2025-01-13
FIN00345,INC01610,Customer Notification,198347.22,USD,2024-09-12
FIN00346,INC00259,Downtime Loss,250.0,USD,2026-02-27
FIN00347,INC00311,Downtime Loss,70732.23,USD,2025-03-01
FIN00348,INC00723,Uncategorized,250.0,USD,2026-06-01
FIN00349,INC00831,PR/Reputation,156070.77,USD,2025-07-23
FIN00350,INC00831,Downtime Loss,145794.0,USD,2025-04-27
FIN00351,INC00315,Legal,250.0,USD,2024-12-04
FIN00352,INC00517,Forensics,45812.64,USD,2025-01-12
FIN00353,INC01826,Remediation,250.0,USD,2024-10-17
FIN00354,INC00449,Legal,35636.17,USD,2025-03-24
FIN00355,INC00945,PR/Reputation,245433.08,USD,2025-12-30
FIN00356,INC00850,Remediation,158700.27,USD,2026-05-02
FIN00357,INC01639,Legal,56164.0,USD,2024-07-22
FIN00358,INC00314,Uncategorized,72485.79,USD,2024-12-23
FIN00359,INC00314,Legal,33484.47,USD,2026-04-10
FIN00360,INC01249,Forensics,2283.75,USD,2025-05-29
FIN00361,INC00320,PR/Reputation,91306.9,USD,2025-02-18
FIN00362,INC01482,Forensics,49025.71,USD,2025-03-04
FIN00363,INC01482,Downtime Loss,70732.23,USD,2025-01-05
FIN00364,INC00078,Customer Notification,250.0,USD,2026-06-25
FIN00365,INC00078,Forensics,45812.64,USD,2025-01-24
FIN00366,INC00869,PR/Reputation,7623.47,USD,2026-03-07
FIN00367,INC01961,Legal,56164.0,USD,2025-01-21
FIN00368,INC00718,Downtime Loss,70732.23,USD,2024-08-17
FIN00369,INC00534,Downtime Loss,34932.74,USD,2024-07-01
FIN00370,INC00752,Forensics,45812.64,USD,2026-05-25
FIN00371,INC01693,Uncategorized,18963.33,USD,2025-11-11
FIN00372,INC01317,Customer Notification,250.0,USD,2025-08-24
FIN00373,INC01306,Downtime Loss,70732.23,USD,2025-09-03
FIN00374,INC01306,Downtime Loss,130433.09,USD,2025-07-13
FIN00375,INC00862,Remediation,214588.43,USD,2025-02-28
FIN00376,INC00862,Forensics,135729.52,USD,2025-04-22
FIN00377,INC01603,Legal,56164.0,USD,2024-07-02
FIN00378,INC01813,Customer Notification,61533.41,USD,2025-11-07
FIN00379,INC00111,Legal,167876.5,USD,2025-04-21
FIN00380,INC00389,Customer Notification,46849.9,USD,2025-04-30
FIN00381,INC00389,Regulatory Fine,74023.2,USD,2025-10-24
FIN00382,INC00902,Downtime Loss,70732.23,USD,2025-04-10
FIN00383,INC00099,Downtime Loss,250.0,USD,2025-05-18
FIN00384,INC00901,Regulatory Fine,250.0,USD,2024-11-25
FIN00385,INC00097,Customer Notification,61533.41,USD,2025-08-28
FIN00386,INC00097,Customer Notification,250.0,USD,2025-12-22
FIN00387,INC00138,Remediation,56652.85,USD,2025-06-24
FIN00388,INC00138,PR/Reputation,135593.65,USD,2025-07-26
FIN00389,INC00105,Customer Notification,61533.41,USD,2026-05-14
FIN00390,INC01875,PR/Reputation,53288.47,USD,2025-04-09
FIN00391,INC01837,Downtime Loss,201354.78,USD,2025-12-03
FIN00392,INC01467,Regulatory Fine,250.0,USD,2026-03-25
FIN00393,INC00748,Forensics,250.0,USD,2025-11-25
FIN00394,INC00748,Legal,37427.11,USD,2026-04-17
FIN00395,INC00991,Regulatory Fine,233035.93,USD,2025-08-28
FIN00396,INC01592,Remediation,250.0,USD,2025-09-08
FIN00397,INC00724,PR/Reputation,73065.42,USD,2025-12-03
FIN00398,INC01752,Remediation,250.0,USD,2025-08-17
FIN00399,INC01040,PR/Reputation,250.0,USD,2025-12-19
FIN00400,INC01083,Downtime Loss,233894.47,USD,2026-05-14
FIN00401,INC01488,Forensics,45812.64,USD,2026-05-22
FIN00402,INC00265,Regulatory Fine,74023.2,USD,2025-10-01
FIN00403,INC01796,Downtime Loss,37993.49,USD,2026-02-13
FIN00404,INC01796,Regulatory Fine,165467.75,USD,2025-06-29
FIN00405,INC01828,Regulatory Fine,32594.41,USD,2026-04-21
FIN00406,INC01828,Regulatory Fine,250.0,USD,2025-08-24
FIN00407,INC01435,Uncategorized,72485.79,USD,2026-06-21
FIN00408,INC00928,Remediation,17805.72,USD,2026-05-21
FIN00409,INC00928,Remediation,234234.59,USD,2025-11-22
FIN00410,INC01848,Uncategorized,72485.79,USD,2025-07-14
FIN00411,INC00523,Uncategorized,250.0,USD,2026-04-03
FIN00412,INC01900,Customer Notification,250.0,USD,2024-09-16
FIN00413,INC00422,Uncategorized,3540.61,USD,2026-01-03
FIN00414,INC00422,Downtime Loss,250.0,USD,2025-04-20
FIN00415,INC00940,Downtime Loss,70732.23,USD,2024-10-02
FIN00416,INC01745,Remediation,56652.85,USD,2024-07-02
FIN00417,INC01929,Regulatory Fine,250.0,USD,2025-12-24
FIN00418,INC00974,Customer Notification,38360.68,USD,2024-08-27
FIN00419,INC01326,Forensics,250.0,USD,2025-02-28
FIN00420,INC01867,Customer Notification,61533.41,USD,2025-11-08
FIN00421,INC01867,Downtime Loss,95078.86,USD,2025-12-04
FIN00422,INC00147,Regulatory Fine,74023.2,USD,2025-11-27
FIN00423,INC01386,Uncategorized,72485.79,USD,2025-01-05
FIN00424,INC01411,Downtime Loss,17047.24,USD,2025-04-13
FIN00425,INC01140,Regulatory Fine,228943.55,USD,2025-01-23
FIN00426,INC01684,Uncategorized,250.0,USD,2024-12-30
FIN00427,INC01427,Regulatory Fine,117861.75,USD,2025-02-18
FIN00428,INC01316,Regulatory Fine,74023.2,USD,2025-11-16
FIN00429,INC00827,Downtime Loss,176758.23,USD,2024-11-17
FIN00430,INC00827,Forensics,250.0,USD,2025-12-09
FIN00431,INC01266,Downtime Loss,60710.33,USD,2024-11-06
