incident_id,client_id,asset_id,threat_id,detected_datetime,resolved_datetime,status,priority,detection_source,assigned_analyst_id,records_affected,description
INC00044,CLI0405,AST00096,THR0247,2024-12-30 21:37:47.918903,2025-01-08 11:37:47.918903,Open,P1,Firewall Log,ANL0091,272976,Speech less whom situation television last staff seat.
INC00045,CLI0080,AST00524,THR0475,2025-11-28 10:01:23.189815,2025-12-05 20:01:23.189815,Open,P4,EDR,ANL0089,441373,When seem test contain than clearly economy behavior then free.
INC00046,CLI0232,AST01462,THR0007,2024-07-30 09:16:02.692176,2024-08-04 00:16:02.692176,In Progress,P1,Firewall Log,,249392,Drive page whatever trade result individual side.
INC00047,CLI0128,AST01070,THR0501,2025-10-04 00:19:02.460622,,In Progress,P4,EDR,ANL0129,228867,Song health able lot station may decision forward probably say.
INC00048,CLI0381,AST00681,THR0084,2025-07-03 13:35:02.030417,2025-07-08 17:05:02.030417,Resolved,P1,siem,ANL0025,249392,Hospital more opportunity unit cultural show rule always who opportunity face you.
INC00049,CLI0046,AST01452,THR0348,2025-05-29 02:31:12.816334,2025-06-03 05:31:12.816334,In Progress,P1,IDS/IPS,ANL0040,249392,Forward imagine phone social listen there upon trial participant.
INC00050,CLI0492,AST01842,THR0522,2024-12-15 09:19:04.711563,,Open,P1,EDR,ANL0036,249392,Strong development enter through system stage protect often house above.
INC00051,CLI0489,AST00333,,2024-12-14 03:05:12.389497,2024-12-19 06:35:12.389497,Resolved,P1,User Report,ANL0040,249392,Weight last however involve when sort event sport.
INC00052,CLI0091,AST00569,THR0286,2025-08-02 22:16:40.234566,2025-08-10 18:16:40.234566,In Progress,P1,IDS/IPS,ANL0093,249392,Administration than run short small shoulder professional market oil move need.
INC00053,CLI0201,AST01436,,2026-01-20 05:22:52.602956,2026-01-26 22:22:52.602956,Resolved,P1,User Report,ANL0071,249392,Understand home rise concern prevent add involve forget early.
INC00054,CLI0153,AST00449,THR0134,2025-06-15 05:15:04.663960,2025-06-20 08:45:04.663960,Resolved,P1,EDR,ANL0050,21720,Candidate see election price public indeed town.
INC00055,CLI0516,AST00192,THR0049,2024-11-25 18:33:47.516272,2024-11-30 00:33:47.516272,Open,P1,SIEM,ANL0060,249392,Guess share eye young reality police baby choose.
INC00056,CLI0468,AST00942,THR0599,2024-09-26 09:32:24.980695,,Closed,P2,EDR,ANL0042,313636,Well at show serve establish condition.
INC00057,CLI0426,AST01399,THR0076,2026-01-09 10:21:42.214842,2026-01-13 11:21:42.214842,Resolved,P1,Unknown,ANL0008,138239,Building she single let business property everything bar smile good.
INC00058,CLI0283,AST00137,THR0402,2025-04-09 00:38:05.531464,2025-04-15 02:38:05.531464,Closed,P1,IDS/IPS,ANL0129,249392,Nation economy adult trial source soldier beat as.
INC00059,CLI0416,AST01142,THR0428,2024-10-14 04:49:09.822368,2024-10-19 08:19:09.822368,Resolved,P1,IDS/IPS,ANL0101,487515,Miss ready create yard serious goal future home.
INC00060,CLI0087,AST01169,THR0404,2026-01-03 11:35:07.583839,,Reopened,P3,Threat Intel Feed,ANL0113,206398,Southern simply I cold perform low only.
INC00061,CLI0202,AST01403,THR0194,2025-11-21 02:11:04.684905,,Open,P1,Threat Intel Feed,ANL0097,249392,Strong value sit newspaper leader focus hard tonight.
INC00062,CLI0195,AST00266,THR0395,2024-07-26 06:17:04.434124,2024-08-04 16:17:04.434124,In Progress,P3,Firewall Log,ANL0106,348895,About green write value possible indeed study wide.
INC00063,CLI0352,AST01341,THR0329,2026-03-21 08:47:13.973116,2026-03-22 23:47:13.973116,Open,P1,siem,ANL0026,249392,Care benefit minute she or list network.
INC00064,CLI0418,AST00303,THR0319,2025-08-06 14:57:48.859364,2025-08-14 05:57:48.859364,Resolved,P3,User Report,ANL0087,422050,Build specific skill point early Mr international although blood voice.
INC00065,CLI0138,AST01475,THR0289,2025-10-28 07:51:58.825702,,Open,P3,Unknown,ANL0063,136703,Receive staff yourself exactly sure wonder window.
INC00066,CLI0036,AST01657,THR0080,2025-03-22 10:12:18.409397,,Open,P1,Unknown,ANL0008,249392,Final feel age wonder foreign Republican thank use owner surface guy believe.
INC00067,CLI0274,AST00758,THR0400,2025-01-08 16:19:18.912054,2025-01-13 13:19:18.912054,Resolved,P3,siem,ANL0069,206398,Five buy office old bad any find set senior tree.
INC00068,CLI0344,AST00409,THR0246,2024-08-26 21:06:46.428911,,Reopened,P4,IDS/IPS,ANL0129,200439,Very that national trade price beyond idea us find there behavior four scientist.
INC00069,CLI0442,AST00428,THR0130,2024-10-07 16:24:55.295885,,Open,P3,Pen Test,,365817,We open blood local light guess my.
INC00070,CLI0341,AST01718,THR0314,2025-01-08 17:45:59.391622,2025-01-14 06:45:59.391622,Resolved,P4,Firewall Log,ANL0096,229205,Vote time easy free continue truth red billion speech like rock call scene.
INC00071,CLI0407,AST00619,THR0187,2026-02-20 06:29:07.973751,,Closed,P1,siem,ANL0071,71674,Draw impact race themselves office role success manage draw involve party home.
INC00072,CLI0377,AST01592,THR0122,2026-02-22 08:26:44.976266,2026-02-26 11:26:44.976266,Reopened,P1,Threat Intel Feed,ANL0051,129925,General identify opportunity treat explain eat task by inside.
INC00073,CLI0426,AST01673,THR0325,2025-10-16 06:50:26.884054,2025-10-18 13:50:26.884054,Resolved,P1,IDS/IPS,ANL0118,118491,Ability boy opportunity section reality office sport oil whose eat represent discuss.
INC00074,CLI0019,AST00062,THR0125,2024-12-29 07:18:22.954749,2025-01-04 04:18:22.954749,Resolved,P2,EDR,ANL0115,256436,Rule range card design where off.
INC00075,CLI0288,AST00652,THR0372,2025-10-18 20:28:14.856818,2025-10-24 09:28:14.856818,Resolved,P4,Unknown,ANL0067,229205,Stop add blood deal certain right size.
INC00076,CLI0511,AST00100,THR0199,2026-03-26 07:54:05.551871,2026-03-28 01:54:05.551871,Resolved,P3,Firewall Log,ANL0114,206398,With her million every production tax certainly home could program.
INC00077,CLI0136,AST01183,THR0332,2026-05-22 06:43:45.386868,,Open,P1,Threat Intel Feed,ANL0012,249392,Majority we join edge item city sit street security.
INC00078,CLI0366,AST01670,THR0450,2025-07-17 15:57:26.053324,2025-07-18 08:57:26.053324,Open,P3,Unknown,ANL0012,19066,Including thing cell evidence international add size morning.
INC00079,CLI0156,AST00991,THR0183,2025-09-01 02:27:38.945533,2025-09-05 23:27:38.945533,Resolved,P3,siem,ANL0050,206398,Field difference cut tell style white especially lose just card.
INC00080,CLI0028,AST01238,THR0588,2026-01-21 04:45:03.748519,2026-01-22 12:45:03.748519,Resolved,P1,EDR,ANL0043,476280,His worry necessary politics certain environment he effort better television might financial.
INC00081,CLI0204,AST00250,THR0355,2025-04-20 14:13:47.871917,2025-04-25 17:43:47.871917,Resolved,P1,SIEM,ANL0048,249392,Note those drop executive special serious.
INC00082,CLI0497,AST01606,THR0131,2025-10-30 23:23:15.458123,2025-11-05 20:23:15.458123,Closed,P2,Firewall Log,ANL0114,256436,Task off under two physical within about when force ready network nothing ability.
INC00083,CLI0195,AST01831,THR0179,2024-11-17 23:25:42.319060,,Open,P4,User Report,ANL0058,67739,Run result interesting receive evening current I.
INC00084,CLI0434,AST00875,THR0359,2026-03-06 16:27:33.895032,,In Progress,P1,Unknown,ANL0012,268147,North ground here person three foot tax ground serve mouth manage issue none.
INC00085,CLI0399,AST01244,THR0124,2025-11-15 12:29:59.625774,2025-11-24 03:29:59.625774,Closed,P4,SIEM,ANL0126,65368,North case improve analysis level movement school.
INC00086,CLI0406,AST00205,THR0567,2024-09-12 15:29:48.049726,2024-09-18 14:29:48.049726,In Progress,P4,IDS/IPS,ANL0068,229205,Kid career scene despite best either truth important yard poor threat throw behavior.
INC00087,CLI0413,AST00980,THR0454,2026-05-05 08:01:59.264930,2026-05-06 18:01:59.264930,Closed,P2,Firewall Log,ANL0042,256436,Budget south social Mr pick set analysis ready must price receive according success.
INC00088,CLI0018,AST01300,THR0300,2026-02-16 12:53:44.362738,2026-02-21 16:23:44.362738,Resolved,P1,Firewall Log,ANL0091,212350,Somebody thought beyond mean director offer a recent.
INC00089,CLI0387,AST00375,THR0346,2026-05-13 10:25:00.259514,2026-05-20 10:25:00.259514,Resolved,P2,siem,ANL0063,256436,News clearly school wonder occur project court state doctor and conference.
INC00090,CLI0118,AST01089,THR0407,2026-02-23 23:55:41.856027,,In Progress,P2,SIEM,ANL0081,256436,Car leave product difficult care brother treatment daughter.
INC00091,CLI0313,AST01582,THR0576,2025-09-30 19:02:56.431088,2025-09-30 23:02:56.431088,Closed,P4,Firewall Log,ANL0015,229205,Strong it reach street city her commercial along compare.
INC00092,CLI0409,AST00470,THR0485,2026-03-07 09:57:01.220921,2026-03-11 12:57:01.220921,Open,P1,Threat Intel Feed,ANL0012,249392,Board share deep child board director spend entire minute never quality.
INC00093,CLI0258,AST01165,THR0179,2026-05-24 14:51:36.889983,2026-05-31 15:51:36.889983,Open,P1,IDS/IPS,ANL0069,37759,Together true worker though church young mouth note well interesting particularly some evidence.
INC00094,CLI0351,AST00676,THR0018,2025-01-05 18:42:03.764043,2025-01-12 22:42:03.764043,Resolved,P1,User Report,ANL0116,249392,Unit sometimes structure cultural far significant let before.
INC00095,CLI0367,AST01649,THR0489,2025-08-28 09:22:00.585622,2025-09-06 01:22:00.585622,Open,P3,Firewall Log,ANL0041,349523,Too discover record wear both look training.
INC00096,CLI0073,AST01276,THR0509,2025-08-27 20:23:25.197144,,In Progress,P2,Threat Intel Feed,ANL0052,299669,Apply conference then sometimes drive anything teach.
INC00097,CLI0441,AST01271,THR0545,2025-07-31 19:52:02.628430,,Open,P1,Unknown,ANL0019,249392,Drop need fund Mr employee forward.
INC00098,CLI0503,AST01830,THR0082,2024-10-07 03:56:18.621145,2024-10-15 09:56:18.621145,Resolved,P4,IDS/IPS,ANL0008,229205,Analysis make study cause so recognize become challenge.
INC00099,CLI0487,AST01329,THR0361,2025-05-18 19:31:24.788504,2025-05-25 15:31:24.788504,Reopened,P2,EDR,ANL0098,256436,Return national scene focus clearly everybody suggest air she sister simple.
INC00100,CLI0193,AST00064,THR0593,2025-11-16 08:44:07.944265,2025-11-18 07:44:07.944265,In Progress,P2,SIEM,ANL0018,184535,Base close score PM ball read.
INC00101,CLI0358,AST00996,THR0279,2025-06-15 21:17:56.396442,,Reopened,P4,SIEM,ANL0001,229205,Keep thus positive arm piece why ago.
INC00102,CLI0476,AST00811,THR0558,2024-10-17 02:17:05.151922,2024-10-21 23:17:05.151922,Resolved,P3,siem,ANL0080,463897,Fine public some mean face factor city nation challenge property.
INC00103,CLI0430,AST01672,THR0356,2025-07-29 03:45:06.703530,,Open,P1,SIEM,ANL0091,249392,Make travel baby compare shake may small fire light.
INC00104,CLI0226,AST00964,THR0396,2025-07-05 03:29:47.887573,2025-07-10 16:29:47.887573,Resolved,P4,siem,ANL0092,229205,Ago out able end early generation game guess middle morning if.
INC00105,CLI0390,AST00457,THR0051,2025-08-14 22:46:08.844629,,Open,P2,Pen Test,ANL0042,277356,Include something memory wrong hard any financial color officer.
INC00106,CLI0474,AST00847,THR0437,2025-12-14 15:29:18.277129,,Reopened,P1,Unknown,ANL0086,249392,Research person apply debate improve task next peace skill admit person player voice.
INC00107,CLI0358,AST00577,THR0446,2026-05-06 02:52:58.582227,,Reopened,P1,User Report,ANL0066,411862,Call art soon up tend education more three.
INC00108,CLI0313,AST01254,THR0584,2026-04-29 05:57:22.957965,2026-05-05 12:57:22.957965,Closed,P1,Threat Intel Feed,ANL0116,149468,Energy safe while popular natural list.
INC00109,CLI0277,AST01797,THR0018,2026-04-03 20:11:37.143849,2026-04-11 02:11:37.143849,Resolved,P2,SIEM,ANL0129,220268,Middle her shake month ask environmental choice assume recent.
INC00110,CLI0489,AST01482,THR0590,2025-09-24 21:49:01.795252,,In Progress,P2,Firewall Log,ANL0003,256436,Rise miss population project film father again these series.
INC00111,CLI0457,AST00265,THR0178,2024-10-03 00:32:32.065359,,Resolved,P1,siem,ANL0133,182319,Issue bit whether edge left American hope watch place church watch health.
INC00112,CLI0294,AST01291,THR0423,2025-01-27 23:21:54.504966,2025-02-02 00:21:54.504966,Resolved,P1,User Report,,249392,Cost small return hard myself cost.
INC00113,CLI0444,AST01738,THR0066,2024-11-16 16:47:57.978008,2024-11-23 05:47:57.978008,Open,P1,Firewall Log,ANL0092,55908,Protect like film society tell message.
INC00114,CLI0118,AST00418,THR0473,2026-05-31 22:15:36.148131,2026-06-06 19:15:36.148131,Resolved,P2,Pen Test,ANL0121,256436,Measure truth sign room happy new may condition word former win letter.
INC00115,CLI0441,AST01652,THR0588,2026-02-27 06:23:51.614336,,Open,P1,Threat Intel Feed,ANL0084,249392,Purpose future face police year fact.
INC00116,CLI0227,AST00174,THR0556,2024-11-26 04:08:41.943675,2024-11-26 17:08:41.943675,Reopened,P2,User Report,ANL0041,256436,Decade share great stock election fire remember house.
INC00117,CLI0139,AST00069,THR0200,2024-12-08 18:22:12.020267,2024-12-11 21:22:12.020267,Reopened,P4,User Report,ANL0005,157945,South bed represent lawyer letter these buy.
INC00118,CLI0462,AST01463,THR0517,2024-08-03 23:48:04.173899,,Open,P1,Unknown,ANL0081,249392,Drop before quickly manage care popular yourself always.
INC00119,CLI0145,AST01166,THR0391,2025-04-22 17:38:08.542055,2025-04-23 06:38:08.542055,In Progress,P1,siem,ANL0074,249392,Rich what truth partner measure serve.
INC00120,CLI0270,AST00386,THR0310,2025-02-23 21:02:11.578387,2025-02-27 07:02:11.578387,Resolved,P2,Unknown,ANL0094,496631,Believe whether teach single result modern across treatment decade ago.
INC00121,CLI0168,AST00332,THR0288,2026-02-11 21:04:31.923034,2026-02-15 12:04:31.923034,Resolved,P3,Firewall Log,ANL0035,272794,Blood single born campaign others under each help line reflect enough exist without.
INC00122,CLI0240,AST00020,THR0138,2024-09-25 03:02:11.279668,2024-10-01 06:02:11.279668,Closed,P2,SIEM,ANL0057,256436,True think quite hot particular generation though baby page speak that.
INC00123,CLI0419,AST00960,THR0126,2025-10-09 16:11:44.323631,,Open,P1,siem,ANL0037,249392,Expert much difficult however local study only series imagine color reveal walk paper.
INC00124,CLI0356,AST01538,THR0256,2025-07-04 04:51:42.188178,2025-07-04 19:51:42.188178,Reopened,P1,Pen Test,ANL0021,493649,Drive every front baby effort already.
INC00125,CLI0237,AST01505,THR0265,2025-12-26 15:17:08.371656,2025-12-28 11:17:08.371656,Open,P2,Threat Intel Feed,ANL0034,24466,Candidate movie wait amount happen again society down very.
INC00126,CLI0304,AST00939,THR0596,2025-05-08 19:43:30.934983,2025-05-17 08:43:30.934983,In Progress,P4,Firewall Log,ANL0034,153445,Mind benefit second interview suffer voice.
INC00127,CLI0383,AST00120,THR0424,2026-05-20 03:35:10.525006,,In Progress,P4,siem,ANL0067,217013,Minute data hospital this because that.
INC00128,CLI0188,AST00541,THR0369,2024-07-19 14:34:23.260129,2024-07-24 18:04:23.260129,Resolved,P1,siem,ANL0087,265179,Rate authority wait defense well should effect.
INC00129,CLI0185,AST00319,THR0042,2025-03-05 10:33:54.252838,2025-03-10 23:33:54.252838,Resolved,P4,Unknown,ANL0066,229205,Stage meeting contain occur magazine suggest.
INC00130,CLI0151,AST00507,THR0193,2025-05-05 18:09:49.117364,2025-05-13 23:09:49.117364,Resolved,P1,Firewall Log,ANL0013,249392,Popular central decision modern enough see American drug to above month language create.
INC00131,CLI0469,AST01052,THR0355,2025-02-02 16:36:29.803442,,Open,P1,EDR,ANL0013,249392,Television tree say more imagine deep population pass buy bill have reality.
INC00132,CLI0299,AST01421,,2024-07-12 21:00:50.788851,2024-07-15 07:00:50.788851,Open,P1,Threat Intel Feed,ANL0046,249392,Medical year oil ask eye off.
INC00133,CLI0113,AST01012,THR0180,2026-05-13 15:47:41.431880,,Reopened,P2,User Report,ANL0047,85747,Yeah old close series relationship perhaps personal short of heart sister.
INC00134,CLI0370,AST01756,THR0148,2025-02-01 05:02:38.602194,,Resolved,P4,Pen Test,ANL0067,229205,Politics service second put seven take bed mission certain situation often PM notice.
INC00135,CLI0392,AST01741,THR0200,2024-10-15 00:26:08.319625,2024-10-15 01:26:08.319625,Closed,P3,Threat Intel Feed,ANL0005,206398,Bill again matter finally peace window create compare couple continue sister standard family.
INC00136,CLI0512,AST01042,THR0339,2024-10-10 21:33:51.581976,,Resolved,P1,Firewall Log,,249392,Identify nice visit imagine record wrong list huge brother shake win.
INC00137,CLI0387,AST01569,THR0358,2024-07-21 23:33:53.129971,,Open,P2,siem,ANL0047,256436,Community democratic no yes direction parent for production traditional practice together.
INC00138,CLI0215,AST00328,THR0325,2025-07-14 16:32:35.095301,2025-07-17 13:32:35.095301,Resolved,P4,siem,ANL0044,229205,Serious structure wonder stock today whether thought brother central reason particular game near.
INC00139,CLI0158,AST00036,THR0409,2026-03-11 20:15:42.532363,2026-03-12 18:15:42.532363,Resolved,P1,Pen Test,ANL0041,249392,Image several name chair produce behavior nearly.
INC00140,CLI0293,AST00240,THR0421,2025-08-22 04:32:15.065578,,Open,P1,IDS/IPS,ANL0063,249392,Imagine authority stop address loss international public rate certainly couple.
INC00141,CLI0158,AST01323,THR0304,2025-07-20 17:59:11.467202,2025-07-22 16:59:11.467202,Resolved,P4,EDR,ANL0067,229205,Front under build successful since human chance onto significant sure evening together take.
INC00142,CLI0028,AST01324,THR0348,2026-02-27 20:00:45.430639,,Closed,P1,EDR,ANL0138,398607,Long difference according system its hospital those artist.
INC00143,CLI0045,AST00559,THR0230,2024-08-08 23:22:34.075234,2024-08-10 16:22:34.075234,In Progress,P2,Firewall Log,ANL0045,410051,Mean avoid property sport friend wide take answer at month.
INC00144,CLI0382,AST01535,THR0116,2025-09-19 18:58:21.742522,2025-09-25 12:58:21.742522,Resolved,P1,IDS/IPS,ANL0103,156213,Bag picture available scene approach imagine concern picture cultural.
INC00145,CLI0107,AST01564,THR0544,2025-08-29 03:56:55.713326,2025-09-04 02:56:55.713326,Resolved,P3,Threat Intel Feed,ANL0001,206398,Politics phone anyone happy point establish time key out hospital around.
INC00146,CLI0182,AST01168,THR0510,2026-05-19 11:30:34.019417,2026-05-24 08:30:34.019417,Closed,P3,Unknown,ANL0100,206398,Rise several in candidate case affect sometimes.
INC00147,CLI0289,AST01783,THR0319,2025-12-26 12:36:33.795139,2026-01-01 09:36:33.795139,Resolved,P2,Threat Intel Feed,ANL0029,320085,Right step type type word not usually at sing age view push.
INC00148,CLI0447,AST01657,THR0077,2025-01-07 15:45:51.202782,,In Progress,P1,Threat Intel Feed,ANL0065,278867,Cup law become car use group us dark.
INC00149,CLI0116,AST00577,THR0524,2026-04-29 16:12:10.040759,2026-05-05 18:12:10.040759,In Progress,P4,siem,ANL0105,229205,Board name bad action support tonight clearly big owner a both.
INC00150,CLI0285,AST01179,THR0099,2025-12-29 19:03:25.053543,2026-01-04 07:03:25.053543,In Progress,P1,Unknown,,249392,Stay woman fish life national with heavy couple language.
INC00151,CLI0433,AST00840,,2026-04-11 20:06:12.234198,2026-04-13 16:06:12.234198,Open,P1,Pen Test,ANL0042,249392,Father enough any which ten follow cell how member win behind every.
INC00152,CLI0199,AST01115,THR0099,2026-06-26 11:06:43.250129,,Open,P3,Firewall Log,ANL0136,471410,Later radio story huge move until toward scientist matter.
INC00153,CLI0002,AST00728,THR0166,2025-07-09 17:01:04.137052,2025-07-18 17:01:04.137052,Open,P1,siem,ANL0111,249392,Avoid street police there thus open still bill.
INC00154,CLI0447,AST00500,THR0182,2024-11-17 22:50:12.672955,2024-11-27 10:50:12.672955,Resolved,P1,User Report,ANL0124,249392,Us information occur future stop six rather just serious term discuss state.
INC00155,CLI0086,AST01036,THR0117,2024-12-24 05:10:17.748415,2024-12-29 18:10:17.748415,Resolved,P4,siem,ANL0112,229205,Summer concern race five ahead director seek.
INC00156,CLI0112,AST00002,THR0195,2026-05-31 18:40:40.940016,2026-06-06 04:40:40.940016,Closed,P2,Firewall Log,ANL0139,256436,Manage reflect name PM idea until.
