asset_id,client_id,asset_type,operating_system,criticality,ip_address,deployed_date,last_patch_date
AST00071,CLI0430,firewall,Unknown,Low,172.24.91.40,2026-04-20,2025-08-30
AST00072,CLI0040,Server,Unknown,High,172.18.102.107,2024-09-06,
AST00073,CLI0134,Server,Unknown,High,Unknown,2024-11-13,2025-12-22
AST00074,CLI0442,Server,macOS Sonoma,High,10.84.122.131,2024-12-03,2025-07-18
AST00075,CLI0440,database,CentOS 7,High,172.22.20.89,2024-02-17,
AST00076,CLI0101,router,Windows 11,High,192.168.144.35,2023-09-07,2025-08-03
AST00077,CLI0086,cloud instance,Unknown,Medium,192.168.78.163,2022-09-17,2025-06-30
AST00078,CLI0006,Server,Unknown,Medium,192.168.245.237,2023-04-17,2025-07-08
AST00079,CLI0385,database,RHEL 8,Critical,172.31.39.125,2025-11-13,2025-10-19
AST00080,CLI0437,Server,Ubuntu 20.04,High,172.24.122.234,2022-11-10,
AST00081,CLI0375,Server,Ubuntu 20.04,High,172.30.67.202,2022-09-03,2025-12-06
AST00082,CLI0424,Server,Unknown,Critical,172.20.214.15,2025-07-03,2025-07-30
AST00083,CLI0496,cloud instance,Ubuntu 20.04,Medium,172.29.63.96,2026-05-18,2026-01-17
AST00084,CLI0408,firewall,Windows 10,High,172.29.101.111,2026-05-10,2026-06-06
AST00085,CLI0166,workstation,Ubuntu 22.04,Medium,192.168.243.216,2023-09-09,
AST00086,CLI0054,firewall,macOS Sonoma,High,Unknown,2022-08-19,2026-01-24
AST00087,CLI0149,mobile device,Unknown,Critical,192.168.75.126,2022-12-22,
AST00088,CLI0228,iot device,Windows 10,Medium,Unknown,2026-06-07,
AST00089,CLI0411,Server,Unknown,High,10.40.31.235,2026-06-12,2026-06-29
AST00090,CLI0059,firewall,CentOS 7,Critical,Unknown,2025-01-01,2025-10-01
AST00091,CLI0293,database,Windows Server 2019,High,192.168.34.79,2022-11-04,2026-01-17
AST00092,CLI0238,Server,Windows 11,High,Unknown,2025-12-02,2026-01-05
AST00093,CLI0001,firewall,Windows 10,High,10.214.213.0,2022-12-11,
AST00094,CLI0405,router,Unknown,Medium,192.168.51.77,2026-03-12,2025-08-04
AST00095,CLI0071,workstation,Unknown,High,172.27.0.249,2026-01-02,2026-02-23
AST00096,CLI0357,iot device,Ubuntu 20.04,Medium,192.168.19.46,2023-03-08,2025-11-23
AST00097,CLI0466,router,Unknown,Low,192.168.19.219,2024-01-29,
AST00098,CLI0519,workstation,Unknown,Low,10.137.131.227,2026-01-30,
AST00099,CLI0120,Server,Ubuntu 20.04,Medium,172.31.187.88,2025-12-04,2026-06-19
AST00100,CLI0257,mobile device,macOS Sonoma,Medium,10.226.223.100,2025-08-03,2025-10-24
AST00101,CLI0348,mobile device,CentOS 7,Medium,192.168.96.57,2024-04-05,
AST00102,CLI0120,cloud instance,Windows 10,Critical,172.27.247.18,2025-10-11,2026-01-03
AST00103,CLI0236,iot device,macOS Sonoma,High,172.28.232.135,2023-01-14,2026-05-06
AST00104,CLI0270,database,Ubuntu 20.04,Low,10.102.197.168,2025-11-03,2025-12-13
AST00105,CLI0351,workstation,Unknown,Medium,172.24.196.108,2023-12-20,
AST00106,CLI0224,Server,Ubuntu 20.04,Medium,10.123.223.79,2023-12-26,2025-09-01
AST00107,CLI0195,mobile device,Ubuntu 22.04,Medium,172.27.49.59,2023-11-14,
AST00108,CLI0212,database,Ubuntu 22.04,High,192.168.14.13,2024-01-15,2026-01-24
AST00109,CLI0365,firewall,Windows 10,Low,10.115.65.226,2025-03-16,2025-11-25
AST00110,CLI0505,Server,Windows Server 2019,High,10.4.142.70,2024-05-22,2025-08-16
AST00111,CLI0494,iot device,Unknown,High,10.156.101.54,2025-05-06,2025-10-07
AST00112,CLI0282,mobile device,Windows 11,High,172.30.176.28,2023-07-03,
AST00113,CLI0408,database,Unknown,Medium,192.168.52.98,2022-07-10,
AST00114,CLI0490,Server,Windows Server 2019,Medium,172.25.11.176,2023-09-09,2025-07-22
AST00115,CLI0179,mobile device,Windows 10,High,172.24.220.61,2023-07-16,
AST00116,CLI0009,Server,Ubuntu 22.04,Critical,172.23.176.141,2026-02-03,
AST00117,CLI0371,Server,Ubuntu 20.04,Medium,192.168.163.160,2025-03-20,2026-03-19
AST00118,CLI0276,mobile device,Unknown,High,172.29.100.227,2024-02-11,
AST00119,CLI0435,database,macOS Sonoma,High,192.168.175.179,2025-05-26,
AST00120,CLI0411,cloud instance,CentOS 7,Medium,172.27.120.206,2024-07-10,2026-05-02
AST00121,CLI0235,workstation,Ubuntu 20.04,High,192.168.49.249,2024-05-17,
AST00122,CLI0391,database,Windows 11,High,192.168.93.187,2026-04-13,2026-05-24
AST00123,CLI0485,Server,Windows 11,Critical,10.157.58.71,2024-03-05,2025-11-12
AST00124,CLI0324,mobile device,Ubuntu 20.04,High,192.168.60.77,2024-05-17,2026-01-28
AST00125,CLI0049,router,Windows 10,High,192.168.99.155,2024-06-30,2026-05-12
AST00126,CLI0261,mobile device,Windows 10,Critical,172.20.211.45,2023-01-16,
AST00127,CLI0370,iot device,Unknown,Medium,192.168.234.70,2023-01-25,
AST00128,CLI0353,Server,macOS Sonoma,Low,10.90.136.181,2023-09-30,2025-12-11
AST00129,CLI0204,Server,Unknown,High,10.86.83.126,2024-10-18,2025-08-25
AST00130,CLI0292,iot device,RHEL 8,High,10.222.15.108,2025-01-10,2026-06-17
AST00131,CLI0458,workstation,macOS Sonoma,Medium,172.22.97.153,2025-06-01,2026-05-21
AST00132,CLI0149,firewall,RHEL 8,Critical,192.168.2.28,2024-12-31,2026-03-09
AST00133,CLI0415,workstation,Windows 10,Medium,172.19.73.98,2024-01-11,
AST00134,CLI0325,cloud instance,Ubuntu 20.04,Medium,10.148.231.97,2024-04-26,
AST00135,CLI0456,iot device,Unknown,Medium,172.20.72.0,2023-11-12,
AST00136,CLI0172,firewall,Windows Server 2019,Medium,10.206.137.89,2022-07-27,2026-06-24
AST00137,CLI0258,workstation,Ubuntu 22.04,Medium,10.86.133.43,2022-12-26,2026-03-16
AST00138,CLI0066,mobile device,Unknown,Low,Unknown,2023-12-30,
AST00139,CLI0086,workstation,Ubuntu 20.04,Medium,192.168.24.142,2025-02-21,2025-07-06
AST00140,CLI0400,cloud instance,Ubuntu 22.04,Medium,192.168.227.125,2024-01-06,
AST00141,CLI0130,firewall,Unknown,High,10.4.195.144,2023-09-12,2026-02-26
AST00142,CLI0366,iot device,CentOS 7,Critical,172.20.99.164,2024-03-02,2026-01-02
AST00143,CLI0279,Server,CentOS 7,Medium,192.168.58.95,2025-08-19,2026-02-06
AST00144,CLI0182,Server,Unknown,Critical,172.22.116.27,2023-12-04,2025-08-26
AST00145,CLI0446,Server,Unknown,High,192.168.106.86,2025-03-31,
AST00146,CLI0233,workstation,CentOS 7,High,10.56.138.102,2025-11-01,
AST00147,CLI0160,cloud instance,Windows Server 2019,Low,10.38.108.184,2025-05-22,2025-08-05
AST00148,CLI0353,cloud instance,CentOS 7,Medium,Unknown,2023-06-02,
AST00149,CLI0489,cloud instance,Windows Server 2019,High,172.21.151.40,2025-12-28,
AST00150,CLI0237,Server,Unknown,High,192.168.59.87,2022-11-15,2025-07-15
AST00151,CLI0448,router,Ubuntu 22.04,Medium,10.87.77.98,2023-10-23,2026-06-13
AST00152,CLI0400,router,Ubuntu 22.04,High,172.18.249.117,2023-12-26,2025-08-09
AST00153,CLI0246,Server,Unknown,High,172.24.178.219,2025-11-01,
AST00154,CLI0292,Server,Ubuntu 20.04,Critical,172.21.86.64,2022-12-12,2026-03-10
AST00155,CLI0187,firewall,Ubuntu 20.04,Low,10.247.33.40,2025-09-14,2025-09-03
AST00156,CLI0464,cloud instance,Unknown,Critical,172.16.236.16,2025-12-11,2026-05-17
AST00157,CLI0156,Server,Unknown,Low,10.249.235.58,2022-12-12,2025-11-26
AST00158,CLI0289,cloud instance,Windows 11,High,172.16.101.65,2025-04-24,2026-03-04
AST00159,CLI0239,workstation,Windows 11,Low,192.168.114.174,2026-05-28,
AST00160,CLI0431,cloud instance,CentOS 7,High,192.168.48.195,2024-03-23,2026-03-21
AST00161,CLI0339,workstation,Windows 11,Low,192.168.197.14,2023-02-02,
AST00162,CLI0074,Server,CentOS 7,Medium,192.168.80.88,2024-07-07,
AST00163,CLI0391,Server,Windows 10,High,10.251.185.72,2023-10-11,
AST00164,CLI0454,database,Windows Server 2019,Medium,192.168.193.220,2024-02-09,2025-09-23
AST00165,CLI0214,mobile device,macOS Sonoma,High,192.168.255.53,2024-04-13,
AST00166,CLI0163,Server,Unknown,Medium,192.168.206.143,2024-02-22,
AST00167,CLI0306,database,RHEL 8,Low,10.155.244.67,2026-01-20,2026-01-20
AST00168,CLI0116,database,macOS Sonoma,High,Unknown,2024-04-26,
AST00169,CLI0123,router,Ubuntu 22.04,Low,10.169.248.80,2024-09-25,2025-12-19
AST00170,CLI0487,Server,Windows 11,High,192.168.231.178,2022-12-13,2026-04-02
AST00171,CLI0162,mobile device,Windows 10,High,172.25.87.237,2024-09-07,2025-08-06
AST00172,CLI0062,Server,RHEL 8,High,10.209.132.18,2022-12-03,2025-09-05
AST00173,CLI0110,firewall,CentOS 7,Medium,172.22.25.56,2025-05-12,2025-11-27
AST00174,CLI0356,mobile device,Ubuntu 22.04,Low,192.168.63.22,2025-08-01,
AST00175,CLI0138,cloud instance,Windows Server 2019,Critical,192.168.255.102,2022-07-06,2026-01-17
AST00176,CLI0302,Server,CentOS 7,Medium,172.31.116.45,2026-03-11,2026-05-28
AST00177,CLI0357,iot device,CentOS 7,High,192.168.65.187,2022-11-28,2026-02-05
AST00178,CLI0165,workstation,Unknown,Medium,172.28.79.40,2024-03-02,
AST00179,CLI0376,mobile device,Windows Server 2019,High,10.175.139.48,2026-05-17,
AST00180,CLI0190,Server,Unknown,High,172.25.144.178,2025-11-12,2025-10-21
AST00181,CLI0245,iot device,Windows 10,High,192.168.111.71,2023-04-19,
AST00182,CLI0195,Server,CentOS 7,High,172.20.62.216,2026-06-02,2026-06-14
AST00183,CLI0290,iot device,macOS Sonoma,High,192.168.165.15,2025-05-02,2026-04-03
AST00184,CLI0069,Server,Windows 11,Medium,192.168.213.191,2025-03-11,2026-05-22
AST00185,CLI0110,mobile device,Ubuntu 22.04,Low,Unknown,2026-01-01,2025-07-03
AST00186,CLI0398,mobile device,Unknown,Medium,10.74.104.67,2022-09-15,
AST00187,CLI0051,iot device,Ubuntu 22.04,Medium,10.128.73.136,2023-01-29,2025-07-21
AST00188,CLI0214,mobile device,Windows 10,Critical,10.16.138.118,2023-12-06,2025-12-11
AST00189,CLI0370,Server,macOS Sonoma,High,192.168.114.216,2025-06-18,2025-09-23
AST00190,CLI0060,Server,Ubuntu 20.04,Medium,Unknown,2025-08-18,2026-04-17
AST00191,CLI0312,workstation,Ubuntu 22.04,Medium,192.168.195.94,2024-01-17,2026-06-21
AST00192,CLI0237,Server,macOS Sonoma,Medium,172.17.184.191,2022-07-18,2026-02-11
AST00193,CLI0255,Server,Windows 11,Medium,172.27.196.137,2025-07-07,
AST00194,CLI0109,Server,RHEL 8,High,192.168.150.158,2024-04-15,2025-07-26
AST00195,CLI0438,workstation,Windows 11,High,10.61.27.241,2024-01-02,
AST00196,CLI0517,iot device,Windows 11,Medium,10.130.145.122,2022-07-08,
AST00197,CLI0361,iot device,Unknown,High,10.165.47.195,2024-11-18,
AST00198,CLI0441,iot device,Unknown,Medium,192.168.183.86,2022-10-14,2026-03-15
AST00199,CLI0385,Server,Ubuntu 20.04,High,10.81.153.2,2024-02-27,
AST00200,CLI0407,Server,Windows Server 2019,High,10.169.236.162,2023-10-26,2026-06-11
AST00201,CLI0139,cloud instance,Windows Server 2019,High,192.168.4.129,2022-12-14,2025-11-02
AST00202,CLI0323,Server,Ubuntu 20.04,Medium,192.168.124.214,2026-04-30,2025-10-24
AST00203,CLI0159,workstation,Windows Server 2019,Critical,10.144.206.246,2022-08-05,2026-01-04
AST00204,CLI0272,iot device,Unknown,Medium,192.168.228.32,2024-06-10,
AST00205,CLI0095,Server,macOS Sonoma,Medium,172.19.18.19,2023-03-01,2026-01-11
AST00206,CLI0080,iot device,CentOS 7,Medium,10.107.235.140,2025-03-05,2026-05-11
AST00207,CLI0098,Server,Ubuntu 20.04,Low,172.22.148.27,2024-08-23,2026-06-21
AST00208,CLI0391,workstation,Windows Server 2019,High,172.18.78.207,2025-06-25,
AST00209,CLI0427,workstation,Ubuntu 22.04,High,172.18.88.12,2022-09-17,2026-01-19
AST00210,CLI0012,router,Windows Server 2019,High,192.168.132.109,2024-02-15,
AST00211,CLI0154,iot device,Unknown,High,172.19.201.41,2024-08-19,2026-02-18
AST00212,CLI0403,mobile device,Unknown,Medium,192.168.37.42,2023-12-04,2025-12-30
AST00213,CLI0443,cloud instance,macOS Sonoma,Medium,192.168.44.74,2023-08-15,2026-06-03
AST00214,CLI0488,Server,Windows Server 2019,Medium,192.168.80.9,2024-08-17,2025-08-17
AST00215,CLI0409,Server,macOS Sonoma,High,192.168.73.196,2023-09-08,2026-05-19
AST00216,CLI0493,Server,Ubuntu 22.04,Critical,192.168.5.181,2024-09-15,2025-08-13
AST00217,CLI0201,Server,Unknown,High,10.201.197.19,2024-08-22,2026-06-10
AST00218,CLI0074,cloud instance,macOS Sonoma,High,192.168.176.13,2023-05-05,2026-05-06
AST00219,CLI0092,workstation,macOS Sonoma,Critical,10.113.11.30,2024-12-17,2025-09-29
AST00220,CLI0329,iot device,Unknown,High,Unknown,2025-03-06,
AST00221,CLI0174,iot device,Unknown,High,192.168.37.115,2023-08-28,
AST00222,CLI0150,mobile device,Windows Server 2019,High,192.168.169.101,2023-12-03,2025-09-22
AST00223,CLI0383,firewall,Windows 10,Low,172.22.49.35,2023-10-07,2025-12-10
AST00224,CLI0152,cloud instance,Windows Server 2019,High,172.20.224.107,2024-10-03,2025-11-09
AST00225,CLI0313,mobile device,CentOS 7,Low,172.26.5.219,2023-06-24,2026-03-26
AST00226,CLI0217,database,Unknown,Medium,172.27.128.232,2023-01-12,2026-05-16
AST00227,CLI0495,Server,Windows 11,High,172.25.198.108,2024-06-10,2025-08-07
AST00228,CLI0386,Server,Unknown,Low,10.71.174.76,2026-01-22,2025-09-08
AST00229,CLI0291,database,Unknown,High,192.168.38.154,2026-01-23,2026-02-15
AST00230,CLI0009,workstation,macOS Sonoma,High,192.168.108.238,2026-02-13,2026-01-13
AST00231,CLI0369,workstation,Windows Server 2019,High,192.168.76.25,2023-12-16,2026-04-07
AST00232,CLI0396,database,macOS Sonoma,Medium,192.168.68.140,2024-05-08,2026-01-01
AST00233,CLI0324,mobile device,Unknown,Medium,192.168.122.78,2025-11-19,2026-04-20
AST00234,CLI0513,mobile device,Unknown,High,Unknown,2023-02-27,2026-01-03
AST00235,CLI0313,iot device,CentOS 7,Critical,10.74.218.154,2025-06-09,2025-12-22
AST00236,CLI0356,iot device,RHEL 8,High,10.118.167.236,2022-09-29,2025-07-14
AST00237,CLI0283,Server,Ubuntu 20.04,Critical,10.184.245.240,2024-01-18,2026-05-30
AST00238,CLI0287,database,Windows 11,High,10.165.236.166,2022-11-27,2026-02-15
AST00239,CLI0141,workstation,macOS Sonoma,Medium,172.24.109.21,2024-10-22,2025-11-13
AST00240,CLI0233,router,Ubuntu 22.04,Medium,172.18.125.165,2024-07-23,
AST00241,CLI0338,mobile device,Unknown,Medium,192.168.176.168,2024-06-10,2025-12-22
AST00242,CLI0208,firewall,Ubuntu 20.04,High,192.168.225.58,2023-02-26,2026-02-19
AST00243,CLI0139,router,Windows 11,High,10.80.145.36,2023-12-11,2026-03-18
AST00244,CLI0326,workstation,Unknown,Medium,10.169.19.56,2025-05-17,2025-12-22
AST00245,CLI0189,iot device,Windows 11,High,Unknown,2023-05-03,
AST00246,CLI0424,router,Ubuntu 20.04,Critical,10.65.122.40,2024-10-14,2026-02-14
AST00247,CLI0281,firewall,Ubuntu 22.04,Low,10.75.49.231,2022-09-19,2025-10-01
AST00248,CLI0274,Server,Unknown,Medium,172.16.152.137,2026-01-03,2026-03-22
AST00249,CLI0237,Server,RHEL 8,Low,10.241.93.26,2025-12-18,
AST00250,CLI0138,Server,Unknown,Critical,192.168.93.31,2024-12-26,
AST00251,CLI0189,router,CentOS 7,Critical,192.168.232.45,2024-11-17,2025-07-24
AST00252,CLI0232,Server,macOS Sonoma,High,10.103.154.58,2024-08-01,
AST00253,CLI0423,database,Ubuntu 22.04,High,10.90.215.20,2024-05-25,2026-02-08
AST00254,CLI0450,Server,CentOS 7,High,192.168.60.43,2022-11-13,
AST00255,CLI0253,router,macOS Sonoma,High,Unknown,2024-08-25,2026-06-07
AST00256,CLI0390,iot device,macOS Sonoma,Medium,192.168.215.99,2023-12-23,2026-01-08
AST00257,CLI0040,Server,Windows 10,Critical,10.246.216.226,2025-08-26,2025-11-15
AST00258,CLI0252,Server,Unknown,Critical,192.168.50.7,2024-03-12,2025-09-30
AST00259,CLI0397,Server,Windows Server 2019,Medium,10.209.58.36,2023-07-11,
AST00260,CLI0312,cloud instance,CentOS 7,Medium,10.60.84.7,2024-07-28,2025-09-12
AST00261,CLI0056,Server,Windows 11,Critical,172.19.105.33,2023-02-11,
AST00262,CLI0093,Server,Windows 10,Medium,192.168.187.53,2024-12-09,2025-11-21
AST00263,CLI0139,router,macOS Sonoma,High,10.247.6.3,2023-03-18,2026-01-19
AST00264,CLI0465,Server,Ubuntu 22.04,Critical,172.28.189.122,2025-06-08,
AST00265,CLI0168,workstation,Windows 10,Low,192.168.82.214,2022-11-23,2026-04-12
AST00266,CLI0372,workstation,Unknown,High,192.168.26.166,2023-02-19,2025-06-30
AST00267,CLI0164,router,Unknown,Critical,Unknown,2022-11-10,2025-08-21
AST00268,CLI0344,Server,Windows 11,Medium,172.24.107.63,2023-05-20,2025-07-28
AST00269,CLI0053,router,Ubuntu 20.04,High,172.28.210.21,2024-12-13,
AST00270,CLI0296,firewall,Windows 10,Medium,192.168.89.189,2025-01-20,2025-12-06
AST00271,CLI0260,Server,CentOS 7,Critical,192.168.146.111,2023-04-10,2026-01-01
AST00272,CLI0006,Server,CentOS 7,Medium,192.168.86.198,2025-03-10,2026-02-23
AST00273,CLI0488,mobile device,macOS Sonoma,Critical,10.141.71.152,2025-08-12,2025-11-20
AST00274,CLI0007,database,Unknown,High,192.168.7.222,2025-06-10,2025-08-01
AST00275,CLI0213,Server,Windows 11,Medium,172.27.35.152,2023-11-19,
AST00276,CLI0038,firewall,Windows Server 2019,High,10.206.211.97,2024-10-16,2025-11-25
AST00277,CLI0306,iot device,Windows 10,Low,10.150.168.44,2023-11-08,2025-08-10
AST00278,CLI0166,cloud instance,Unknown,High,172.24.1.40,2025-04-09,2026-01-21
AST00279,CLI0182,mobile device,Unknown,High,10.234.238.46,2025-03-21,2026-05-23
AST00280,CLI0307,iot device,RHEL 8,Critical,172.18.41.103,2024-01-10,
AST00281,CLI0067,cloud instance,CentOS 7,Medium,192.168.161.167,2024-02-22,
AST00282,CLI0338,Server,macOS Sonoma,Medium,192.168.127.27,2023-08-23,2025-11-22
AST00283,CLI0060,workstation,Unknown,High,172.21.182.39,2024-05-26,2026-05-22
AST00284,CLI0090,mobile device,Unknown,High,172.22.21.218,2024-06-28,
AST00285,CLI0438,Server,RHEL 8,High,172.22.125.16,2025-10-31,2025-11-06
AST00286,CLI0363,firewall,Unknown,Medium,10.40.47.133,2025-03-13,2026-02-08
AST00287,CLI0510,mobile device,Windows 11,Medium,192.168.246.238,2023-12-24,
AST00288,CLI0199,Server,Windows 10,Low,192.168.251.74,2023-03-24,2026-04-04
AST00289,CLI0213,Server,macOS Sonoma,Critical,Unknown,2024-02-01,
AST00290,CLI0218,Server,Ubuntu 22.04,High,192.168.244.230,2026-04-02,2025-07-10
AST00291,CLI0316,cloud instance,Unknown,Medium,192.168.234.21,2026-05-26,2026-03-11
AST00292,CLI0117,iot device,RHEL 8,Critical,192.168.107.231,2024-01-05,2025-11-08
AST00293,CLI0030,firewall,Ubuntu 22.04,High,172.24.105.66,2023-06-11,2026-02-08
AST00294,CLI0491,mobile device,Windows Server 2019,High,172.29.144.240,2023-05-03,2026-03-12
AST00295,CLI0472,Server,RHEL 8,Critical,172.21.193.167,2024-10-11,
AST00296,CLI0058,Server,Ubuntu 20.04,Medium,10.120.187.116,2024-09-18,
AST00297,CLI0020,database,Unknown,High,192.168.4.252,2023-03-15,
AST00298,CLI0068,firewall,Ubuntu 20.04,High,Unknown,2025-11-21,
AST00299,CLI0170,Server,Unknown,Critical,172.17.134.213,2024-02-02,2026-03-08
AST00300,CLI0316,iot device,Windows Server 2019,High,172.19.20.231,2024-04-17,
AST00301,CLI0244,iot device,CentOS 7,High,192.168.131.243,2023-11-14,2025-11-26
AST00302,CLI0310,firewall,Windows 10,High,192.168.101.221,2024-10-19,2026-02-21
AST00303,CLI0095,mobile device,Unknown,Low,172.31.153.140,2025-08-04,2025-07-27
AST00304,CLI0158,database,RHEL 8,Critical,192.168.74.41,2025-12-19,2026-06-03
AST00305,CLI0318,iot device,Windows 11,High,172.28.243.229,2025-11-21,2025-08-27
AST00306,CLI0136,database,Windows Server 2019,Critical,10.149.44.168,2025-05-02,2025-11-20
AST00307,CLI0119,Server,Ubuntu 20.04,Low,172.27.159.11,2025-06-26,2025-12-10
AST00308,CLI0090,iot device,CentOS 7,Low,10.11.211.232,2022-12-29,2025-09-29
